Unnamed_1,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Levde_når_2,Levde_når_2_link,Når_komponert,Når_komponert_link,Diverse,Diverse_link,Diverse_2,Diverse_2_link,Dublett_,Forlag,Forlag_link,Nr_,Unnamed_13
,Viddens sang,https://musescore.com/user/26911315/scores/7097920,"Guldbranson, Eilif",https://snl.no/Eilif_Gulbranson,1897 - 1958,,Sigurd Skaun,https://www.nb.no/items/32e57f955b476c8afaf9c2ad7dbd3340?page=1&searchText=%22Sigurd%20Skaun%22,1894 -  1979,,1943,,Fra filmen Vigdis,https://no.wikipedia.org/wiki/Vigdis_(film),,,,,,,
,Tater Maria,https://musescore.com/user/26911315/scores/7097408,"Gulliksen, Gård",https://www.nb.no/items/0679fc5d7bf53f79a14d881484851e7f?page=5&searchText=%22Gård%20Gulliksen%22,1904 - 1987,,Gård Gulliksen,https://www.nb.no/items/0679fc5d7bf53f79a14d881484851e7f?page=5&searchText=%22Gård%20Gulliksen%22,1904 - 1987,,1941,,,,,,,Musikk-huset,,325,
,De gamle melodier,https://musescore.com/user/26911315/scores/7108364,"Gulliksen, Gård",https://www.nb.no/items/0679fc5d7bf53f79a14d881484851e7f?page=5&searchText=%22Gård%20Gulliksen%22,1904 - 1987,,Tola (Torleif Larssen),,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1945,,,,,,,Norsk Musikforlag,,7618,
,Her er din sang,https://musescore.com/user/26911315/scores/7015451,"Gulliksen, Gård",https://www.nb.no/items/0679fc5d7bf53f79a14d881484851e7f?page=5&searchText=%22Gård%20Gulliksen%22,1904 - 1987,,Gård Gulliksen,https://www.nb.no/items/0679fc5d7bf53f79a14d881484851e7f?page=5&searchText=%22Gård%20Gulliksen%22,1904 - 1987,,1943,,,,,,,,,,
x,Kärleken blir större för varje dag,https://musescore.com/user/26911315/scores/7043711,"Gullmar, Kai (Gurli Maria Bergström)",https://sv.wikipedia.org/wiki/Kai_Gullmar,1905 - 1982,,Karl-Ewert Christenson,https://sv.wikipedia.org/wiki/Karl-Ewert_Christenson,1888 - 1965,,1945,,Fra filmen Sussie,http://www.svenskfilmdatabas.se/en/item/?type=film&itemid=4108,,,,,,,
,Med dig i mine armer,https://musescore.com/user/26911315/scores/7045037,"Gullmar, Kai (Gurli Maria Bergström)",https://sv.wikipedia.org/wiki/Kai_Gullmar,1905 - 1982,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1940,,"Fra filmen ""Med dig i mine armer""",https://no.wikipedia.org/wiki/Med_deg_i_mine_armer,,,,,,,
,Min lykkestjerne,https://musescore.com/user/26911315/scores/7045109,Gunard-Larsen (Danmark),https://slaegtsbibliotek.dk/922113.pdf,1891 - ?,,Lilleklaus (Thorleif Arne Klausen),https://no.wikipedia.org/wiki/Thorleif_Klausen,1882 - 1934,,1920,,"Fra revyen ""Paa'n igjen"" 1920",https://www.nb.no/items/5ff0105b5f0e9dd2192679b674ef3896?page=7&searchText=%22Kjell%20Koren%20%26%20Co%22,,,,Kjell Koren & Co,,19,
,Den vackraste visan,https://musescore.com/user/26911315/scores/25717597,"Gundersen, Jens",https://en.wikipedia.org/wiki/Jens_Gunderssen,1912 - 1965,,"Nerman, Ture",https://no.wikipedia.org/wiki/Ture_Nerman,1886 - 1969,,1949,,,,,,,Norsk Musikforlag,,7844,
,Vuggevise,https://musescore.com/user/26911315/scores/7101620,"Gundersen, Jens",https://en.wikipedia.org/wiki/Jens_Gunderssen,1912 - 1965,,"Gundersen, Jens",https://en.wikipedia.org/wiki/Jens_Gunderssen,1912 - 1965,,1948-49,,,,,,,Norsk Musikforlag,,7778,
,Når vår og sommer kommer,https://musescore.com/user/26911315/scores/23313577,"Gundersen, Normann",https://www.nb.no/items/0f05320a372b02948ff496fc8e1c92f9?page=7&searchText=%22Normann%20Gundersen%22,1901 - 1977,,"Hansen, Sverre",,,,1937,,Omtale,https://www.nb.no/items/f3731081e970ed219d3fecae5abc35e3?page=5&searchText=%22N%C3%A5r%20v%C3%A5r%20og%20sommer%20kommer%22,,,,Eget forlag,,,
,Söderhavets pärla,https://musescore.com/user/26911315/scores/7250787,"Elmer, Gustav
Westling, Ragnar",,"1897 - 1959
1899 - 1973",,Toivo Ek,,1897 - 1964,,1956,,Ragnar Westling,https://sv.wikipedia.org/wiki/Ragnar_Westling,,,,,,,
,"Else, min blonde veninne",https://musescore.com/user/26911315/scores/14951221,"Gyldmark, Sven",https://no.wikipedia.org/wiki/Sven_Gyldmark,1904 – 1981,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 -1981,,1945,,,,,,,Carl M. Iversen,,194,
,Gulaschbaronen,https://musescore.com/user/26911315/scores/7067835,"Gylling, Erik",https://www.discogs.com/artist/2271257-Erik-Gylling?filter_anv=0&type=Credits,1894 - 1954,,,,,,1932,,,,,,,Hagstrøm A/S Oslo,,,
,Jeg skal ta morfar med meg ut ikvell,https://musescore.com/user/26911315/scores/7030007,Gösta Westerberg & Eric Sandström,https://sv.wikipedia.org/wiki/Gösta_Westerberg,,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1949,,,,,,,,,,
,En norsk sjømann,https://musescore.com/user/26911315/scores/21265138,"Hadland, Ole",,1914 - 1994,,"Torssen, Laurits",https://www.nb.no/items/e2681c27d709748f1d87ea99c877de81?page=1&searchText=%22Laurits%20Torssen%20er%20d%C3%B8d%22%22,1901 - 1982,,1936,,,,,,,Bartnes Forlag,,19,
,Ikke alt er tatt av vinden,https://musescore.com/user/26911315/scores/7026170,"Hagen, Egil",https://no.wikipedia.org/wiki/Egil_Hagen_(1912–2004),1912 - 2004,,"Hagen, Egil",https://no.wikipedia.org/wiki/Egil_Hagen_(1912–2004),1912 - 2004,,1943,,,,,,,,,,
,Hvad kigger du paa?,https://musescore.com/user/26911315/scores/21996232,"Hall, Gunnar",,,,"Anker, Paul",,1891 - 1981,,1929,,,,,,,Jac. Boesens Musikforlag,,129,
,Til kongen,https://musescore.com/user/26911315/scores/7097453,"Hall, Pauline",https://no.wikipedia.org/wiki/Pauline_Hall,1890 - 1969,,Arnulf Øverland,https://no.wikipedia.org/wiki/Arnulf_Øverland,1889 - 1968,,,,,,,,,,,,
,Drømmen om tjernet det blå,https://musescore.com/user/26911315/scores/23330614,"Halvorsen, S.",,,,"Albe, Otto",,1903 - 1978,,1945,,,,,,,Norsk Musikforlag,,6705,
,"Hun var bitte, bitte liten",https://musescore.com/user/26911315/scores/7557506,"Halvorsen, Sigurd",,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1942,,,,,,,Carl M. Iversen,,174,
,Mot lykken jeg går,https://musescore.com/user/26911315/scores/7045174,"Halvorsen, Sigurd",,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1945,,,,,,,Carl M. Iversen,,203,
,Våren i Kristiania,,Hannes Ruch,https://de.wikipedia.org/wiki/Hans_Richard_Weinhöppel,1867 - 1928,,Vilhelm Dybwad,https://no.wikipedia.org/wiki/Vilhelm_Dybwad,1863 - 1950,,,,,,,,,,,,
,Jørgensens amerikanske hvetebrød,,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,Henrik Jansen,,1877 - 1923,,,,,,,,,,,,
,Ranco Marsj,https://musescore.com/user/26911315/scores/8171889,"Hansen, Alf",,ca 1900 - 1973?,,,,,,ca 1932,,,,,,,,,,
,Den nye lokker'n,https://musescore.com/user/26911315/scores/9861805,"Hansen, Erling",,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1947,,,,,,,Oscar Skau,,287,
,Russemarsch,https://musescore.com/user/26911315/scores/7712870,"Hanssen, Johannes",https://no.wikipedia.org/wiki/Johannes_Hanssen,1874 - 1967,,,,,,1921,,,,,,,Oluf By,,1651,
,En aften i Paris,https://musescore.com/user/26911315/scores/7012985,"Hansten, Einar",https://www.nb.no/items/ddde0bb10d88409d220f16b1c083fe00?page=39&searchText=%22Einar%20Hansten%22,1909 - 1998,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1942,,,,,,,Coda Musikforlag,,,
,Jeg sender deg en tanke,https://musescore.com/user/26911315/scores/15264157,"Hansten, Einar",https://www.nb.no/items/ddde0bb10d88409d220f16b1c083fe00?page=39&searchText=%22Einar%20Hansten%22,1909 - 1998,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1942?,,,,,,,Coda Musikforlag,,,
,Sami,https://musescore.com/user/26911315/scores/7064571,"Hansten, Einar",https://www.nb.no/items/ddde0bb10d88409d220f16b1c083fe00?page=39&searchText=%22Einar%20Hansten%22,1909 - 1998,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1927,,,,,,,Coda Musikforlag,,5476,
,Nattens tango,https://musescore.com/user/26911315/scores/7224525,"Harr, Carsten",https://www.nb.no/items/ff832e2382a4af78180431b36facc0e3?page=13&searchText=%22Carsten%20Harr%22,1907 - 1998,,"Harr, Carsten",https://www.nb.no/items/ff832e2382a4af78180431b36facc0e3?page=13&searchText=%22Carsten%20Harr%22,1907 - 1998,,1932,,Forside tegnet av Carsten Harr selv.,,,,,Eget forlag,,,
,Vi skall segla livet samman,https://musescore.com/user/26911315/scores/7396823,"Harrison, Walter",,,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1929,,"""1 præmie Lailakonkurrancen 1929""",,,,,,,,
,Vestkunstens vals,,Harry Blomquist,,,,,,,,1931,,3dje premie slagerkonkurransen 1931,https://www.nb.no/items/490e85e870a1e1b53879cbf035a49b3d?page=1&searchText=%22Julius%20Abrahamsen%22,,,,,,,
,Speiderhilsen,https://musescore.com/user/26911315/scores/22389904,"Harstad, Hans",,1902 - 1985,,,,,,1927,,,,,,,Eget forlag,,,
,Det kunne vært deg,https://musescore.com/user/26911315/scores/7516976,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,Karl Ludvig Bugge,https://no.wikipedia.org/wiki/Karl-Ludvig_Bugge,1915 - 1987,,1952,,"Fra filmen ""Det kunne vært deg""",https://no.wikipedia.org/wiki/Det_kunne_vært_deg,,,,Musikk-huset,,1194,
,En liten fransk souper,https://musescore.com/user/26911315/scores/7014981,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,Titus Vibe Muller (& C. Hartmann),https://no.wikipedia.org/wiki/Titus_Vibe-Müller,1912 - 1986,,1943,,,,,,,,,,
,En sommerkveld på fjorden,https://musescore.com/user/26911315/scores/11649487,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,"Carlmar, Otto",https://no.wikipedia.org/wiki/Otto_Carlmar,1902 - 1987,,1930,,,,,,,Skandinavisk Schlagerforlag,,115,
,Et sommereventyr,https://musescore.com/user/26911315/scores/7041392,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,,,,,,,,Norsk Musikforlag,,6920,
,Lillegutt,https://musescore.com/user/26911315/scores/7044890,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,Christian Hartmann,https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,,,,,,,,Norsk Musikforlag,,7273,
,Lyttervalsen,https://musescore.com/user/26911315/scores/7233165,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,Arne Svendsen,https://no.wikipedia.org/wiki/Arne_Svendsen,1884 - 1958,,1933,,"1 premie ""Lytterkonkurranse"" 1933",,,,,,,,
,Masta,https://musescore.com/user/26911315/scores/7045015,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,"Carlmar, Otto",https://no.wikipedia.org/wiki/Otto_Carlmar,1902 - 1987,,,,Tobakk-reklame,,,,,,,,
,Min lille sommervenn,https://musescore.com/user/26911315/scores/10584187,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,"Carlmar, Otto",https://no.wikipedia.org/wiki/Otto_Carlmar,1902 - 1987,,1931,,,,,,,Norsk Musikforlag,,6593,
,Monte Carlo,https://musescore.com/user/26911315/scores/7224870,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,"Carlmar, Otto",https://no.wikipedia.org/wiki/Otto_Carlmar,1902 - 1987,,1930,,,,,,,Skandinavisk Schlagerforlag,,108,
,Når man er litt lykkelig,https://musescore.com/user/26911315/scores/7045370,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,Inge Schee,,,,1946,,"Fra filmen ""Et spøkelse forelsker seg""",https://no.wikipedia.org/wiki/Et_spøkelse_forelsker_seg,,,,,,,
,Ved et lite bål ned'på stranden,https://musescore.com/user/26911315/scores/7235871,"Hartmann, Christian",https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,Christian Hartmann,https://no.wikipedia.org/wiki/Christian_Hartmann,1910 - 1985,,1932,,Omtale,https://www.nb.no/items/8621d3b36df0ac9295cbf2cb088f8ddd?page=3&searchText=%22Slagerkonger%22,,,,,,,
,Røde Roser,https://musescore.com/user/26911315/scores/7387007,"Haschler, Karl",https://en.wikipedia.org/wiki/Karel_Hašler,1879 - 1941,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,,,"Fra filmen ""Der Wildfang""",,,,,"Coda Musikkforlag, Drøbak",,,
,Mammon-ra,https://musescore.com/user/26911315/scores/8107026,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1982,,,,,,1931,,Tekst fra Studentrevyen 1931,,,,,Duo Forlag,,1,
,D'r utrulig hvad det  går an å servere!,,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1983,,S. G.,,,,,,,,,,,Eget forlag,,,
,Dillan,https://musescore.com/user/26911315/scores/7085596,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1983,,Henki Kolstad,https://no.wikipedia.org/wiki/Henki_Kolstad,1915 - 2008,,1941,,"Fra teaterstykket ""Lykken banker på""",,,,,,,,
,Du er kvinne,https://musescore.com/user/26911315/scores/7012970,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1982,,Rodja Nihiloff,,,,1929,,,,,,,,,,
,Munkholm,https://musescore.com/user/26911315/scores/7045196,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1982,,Rodja Nihiloff,,,,,,Margarin-reklame,,,,,,,,
,Sangen til dig,https://musescore.com/user/26911315/scores/20497477,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1982,,Harald Hope,,1913 - 1982,,1933,,,,,,,"A/S Musikkhuset, Haugesund",,,
,Sangen til mor,https://musescore.com/user/26911315/scores/7080474,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1982,,Harald Hope,,1913 - 1982,,,,,,,,,,,,
,Vårt hus,https://musescore.com/user/26911315/scores/7103051,"Haugen, Harald Bernhard",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20haugen%22,1905 - 1982,,Harald Hope,,1913 - 1982,,,,Sogneprest?,,,,,"A/S Musikkhuset, Haugesund",,,
,8. Mai,https://musescore.com/user/26911315/scores/6997386,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,,,,,1945,,,,,,,,,,
,Bli hos mig,https://musescore.com/user/26911315/scores/7036564,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Alf Rød,https://no.wikipedia.org/wiki/Alf_Rød,1894 - 1969,,,,,,,,,,,,
,Blåklokker,https://musescore.com/user/26911315/scores/7106567,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1929,,,,,,2,,,,
,Champagne,https://musescore.com/user/26911315/scores/22119079,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Kvist, Per",https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1935,,,,,,,Bartnes forlag,,15,
,Charleson i Grukkedalen,https://musescore.com/user/26911315/scores/7004150,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Carl Kaas,,,,1927,,2 pr. Jazzkonkurranse 1927,https://www.nb.no/items/f2b19d6aae9274d80c70e3b2965be9c1?page=5&searchText=%22Notestik%22,,,,,,,
,Den lille bueskytter,https://musescore.com/user/26911315/scores/7008746,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1942,,"Fra filmen ""En herre med bart""",https://no.wikipedia.org/wiki/En_herre_med_bart,,,4,,,,
,Den vil jeg nynne for deg,https://musescore.com/user/26911315/scores/7011976,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Gunnar Holm,,,,,,,,,,3(forskjellig utgaver),,,,
,En herre med bart,https://musescore.com/user/26911315/scores/7013000,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1942,,"Fra filmen ""En herre med bart""",https://no.wikipedia.org/wiki/En_herre_med_bart,,,,,,,
,En Oslodag,https://musescore.com/user/26911315/scores/9248146,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Kvist, Per",https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1936,,,,,,,Norsk Musikforlag,,6932,
,Eventyr,https://musescore.com/user/26911315/scores/7025915,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Rolf Hiorth Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1930,,,,,,,,,,
,Far og Trine,https://musescore.com/user/26911315/scores/7015072,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1942,,"Fra filmen ""En herre med bart""",https://no.wikipedia.org/wiki/En_herre_med_bart,,,,,,,
,Godnatt,,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Arild Feldborg,https://litteraturnettnordnorge.no/arild-feldborg/,1912 - 1987,,1937,,,,,,,,,,
,Gudskjelov-kvelden,https://musescore.com/user/26911315/scores/7015321,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Dorian Red (Arne Paasche Aasen),https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1949,,,,,,,,,,
,Hankø-valsen,https://musescore.com/user/26911315/scores/7039205,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Gunnar Kristoffersen,,,,1933,,"Fra revyen ""Kunsten å leve""",,,,,,,,
,I den lille lysegrønne prammen,https://musescore.com/user/26911315/scores/7024774,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Karl Ludvig Bugge,https://no.wikipedia.org/wiki/Karl-Ludvig_Bugge,1915 - 1987,,1942,,,,,,,,,,
,Karl-Johan,https://musescore.com/user/26911315/scores/7035846,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Henry Gleditsch,https://no.wikipedia.org/wiki/Henry_Gleditsch,1902 - 1942,,1950,,,,,,,Musikk-huset,,260,
,Lillemor er sovnet inn,https://musescore.com/user/26911315/scores/7044919,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Gunnar Holm,,,,,,,,,,,Norsk Notestik og Forlag,,1955,
,Lykkens serenade,https://musescore.com/user/26911315/scores/7044947,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Gunnar Holm,,,,1941,,,,,,,Musikkhuset A/S,,933,
,Når kastanjene blomster i Bygdø Allé,https://musescore.com/user/26911315/scores/21876898,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Kaspersen, Gunnar",https://no.wikipedia.org/wiki/Gunnar_Kaspersen,1907 - 1991,,1950,,,,,,,Norsk Musikforlag,,4288,
,Prins Haralds honnørmarsj,https://musescore.com/user/26911315/scores/7352897,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,,,,,1945,,"Fra filmen ""Den forsunne pølsemaker""",https://sv.wikipedia.org/wiki/Den_forsvundne_pølsemaker,,,,Musikkhuset A/S,,328,
,Pølsemaker - Pølsemaker,https://musescore.com/user/26911315/scores/7057651,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1928,,,,,,,,,,
,På musejakt,https://musescore.com/user/26911315/scores/7062552,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,,,,,,,,,,,,Musikk-huset A/S Oslo,,1073,
,Sangen vil følge deg,https://musescore.com/user/26911315/scores/21352234,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Kaspersen, Gunnar",https://no.wikipedia.org/wiki/Gunnar_Kaspersen,1907 - 1991,,1951,,,,,,,Norsk Notestik og Forlag,,,
,Si nei om du kan,https://musescore.com/user/26911315/scores/7099280,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Elsa Wenner Bøe (g. Vedeler),,1910 - 1967,,,,"Fra filmen ""En herre med bart""",https://no.wikipedia.org/wiki/En_herre_med_bart,,,,Carl M. Iversen,,169,
,Skjebnetimen,https://musescore.com/user/26911315/scores/7083014,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1942,,,,,,,Norsk musikforlag,,,
,Sommer og sol,https://musescore.com/user/26911315/scores/7083888,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Alf Rød,https://no.wikipedia.org/wiki/Alf_Rød,1894 - 1969,,1932,,,,,,,Norsk musikforlag,,6556,
,Steinbrytersangen,https://musescore.com/user/26911315/scores/10691980,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1931,,,,,,,Norsk Musikforlag,,6586,
,Tilbake til valsen,https://musescore.com/user/26911315/scores/14294713,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,,,,,1931,,,,,,,Musikkhuset,,350,
,To og to er tre,https://musescore.com/user/26911315/scores/10061320,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1943,,To sanger.,,,,,Norsk musikforlag,,6858,
,Tror du?,https://musescore.com/user/26911315/scores/8398734,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1931,,"Fra revyen ""Kunsten å leve""",,,,,,,,
,Vi gjør Adams parole til vår,https://musescore.com/user/26911315/scores/7097909,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Karl Ludvig Bugge,https://no.wikipedia.org/wiki/Karl-Ludvig_Bugge,1915 - 1987,,1942,,,,,,,Musikk-huset,,1494,
x,Vær vår gjest,https://musescore.com/user/26911315/scores/7102807,"Hauger, Kristian",https://no.wikipedia.org/wiki/Kristian_Hauger,1905 - 1977,,Trygve Fjeld,,,,1956,,,,,,,,,,
,Lailas Kjærlighetssang,https://musescore.com/user/26911315/scores/7044771,"Hauger, Kristian, Fred Bjønner (Lars Minsaas), Einar Ellgen",,,,Rolf Hjort Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1929,,,,,,,,,,
,Hvorfor,https://musescore.com/user/26911315/scores/7219224,"Hausken, Arne",http://rogalyd.no/artist/arne-hausken-1895-1963,1895 - 1963,,Arne Hausken,http://rogalyd.no/artist/arne-hausken-1895-1963,1895 - 1963,,,,,,,,,Carl M. Iversen,,155,
,Alle roser visner,https://musescore.com/user/26911315/scores/6997723,"Heide-Jacobsen, Gunnar",,1910 - 1985 ?,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,ca 1942,,,,,,,Abraham Lundquist,,4083,
,Fiskar-vals från Bohuslän,https://musescore.com/user/26911315/scores/7671083,"Hellström, David",https://sv.wikipedia.org/wiki/David_Hellström,1883 - 1965,,"Svenning, Göran",https://sv.wikipedia.org/wiki/Göran_Svenning,1870 - 1953,,1906,,,,,,,Abraham Lundquist,,4312,
,Bohuslänska Sjömansvalsen,https://musescore.com/user/26911315/scores/7668032,"Hellström, David",https://sv.wikipedia.org/wiki/David_Hellström,1883 - 1965,,"Svenning, Göran",https://sv.wikipedia.org/wiki/Göran_Svenning,1870 - 1953,,1910,,,,,,,Abraham Lundquist,,4431,
,Ny Fiskar-Vals,https://musescore.com/user/26911315/scores/7671131,"Hellström, David",https://sv.wikipedia.org/wiki/David_Hellström,1883 - 1965,,"Svenning, Göran",https://sv.wikipedia.org/wiki/Göran_Svenning,1870 - 1953,,1913,,(Publisert 1913) Omtale,https://sv.wikipedia.org/wiki/Kostervalsen,,,,"Abraham Lundquist, Stockholm",,4536,
,Koster-valsen,https://musescore.com/user/26911315/scores/7430009,"Hellström, David",https://sv.wikipedia.org/wiki/David_Hellström,1883 - 1965,,"Svenning, Göran",https://sv.wikipedia.org/wiki/Göran_Svenning,1870 - 1953,,1907,,Bevärings-vals från Backamo,https://sv.wikipedia.org/wiki/Beväringsvals_från_Backamo,,,,,,,
,Bevärings-vals från Backamo,https://musescore.com/user/26911315/scores/7108306,"Hellström, David",https://sv.wikipedia.org/wiki/David_Hellström,1883 - 1965,,"Svenning, Göran",https://sv.wikipedia.org/wiki/Göran_Svenning,1870 - 1953,,1912,,,,,,,"Bohuslänska Förlaget, Strömstad",,,
